Listing_ID;Last_scraped;Source;Host_ID;Host_since;host_location;Aux.;Host_Location2;Host_response_time;Host_response_rate;Host_response_rate_num;Host_acceptance_rate;Host_acceptance_rate_num;host_is_superhost;Superhost;Superhost2;Host_listings_count;Host_total_listings_count;host_verifications;Host_verification;Host_identity_verified;Host_identity_verified2;Neighbourhood_group_cleansed;Property_type;Room_type;Num. Accommodates;Bathrooms_initial;Num. Bathrooms;Bathrooms_text;Shared_bathrooms;Bedrooms_initial;Beds_initial;Price;Price_€;minimum_nights;minimum_night_category;maximum_nights;maximum_nights_category;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;anual_availability;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;availability_eoy;number_of_reviews_ly;first_review;last_review;review_scores_rating_ininitial;Review_scores_rating2;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;Instant_bookable2;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
6,74459E+17;07/03/2025;city scrape;470349718;19/07/2022;;0;Unknown;within an hour;100%;1,00;100%;1,00;t;t;True;1;1;email, phone;email, phone;t;True;Tetuán;Entire rental unit;Entire home/apt;5;20;2;2 baths;Private;3;3;$179.00;179,00;1;Very short stay;1125;No real limit;28;28;1125;1125;280;11250;;t;23;44;44;272;High availability;07/03/2025;11;3;0;207;2;07/10/2022;04/01/2025;491;4,91;491;464;50;482;491;482;t;True;1;1;0;0;37
6,7447E+17;06/03/2025;city scrape;27139687;03/02/2015;Madrid, Spain;1;Spain;within an hour;100%;1,00;88%;0,88;t;t;True;1;2;email, phone;email, phone;t;True;Centro;Private room in rental unit;Private room;1;10;1;1 shared bath;Shared;1;1;$50.00;50,00;1;Very short stay;1125;No real limit;1;3;1125;1125;10;11250;;t;6;22;44;303;High availability;06/03/2025;304;134;7;239;125;09/09/2022;27/02/2025;492;4,92;488;49;492;496;497;488;f;False;1;0;1;0;1002
6,7448E+17;05/03/2025;city scrape;402683004;21/05/2021;;0;Unknown;within a few hours;86%;0,86;46%;0,46;f;f;False;57;62;email, phone;email, phone;t;True;Carabanchel;Entire rental unit;Entire home/apt;2;10;1;1 bath;Private;0;1;$76.00;76,00;4;Short stay;365;Long stay (up to 1 year);4;4;365;365;40;3650;;t;25;51;77;77;Low availability;05/03/2025;29;6;0;77;8;08/08/2022;07/01/2025;469;4,69;472;476;476;483;428;448;f;False;46;46;0;0;92
6,74513E+17;06/03/2025;city scrape;460391145;22/05/2022;Madrid, Spain;1;Spain;N/A;N/A;;N/A;;f;f;False;174;186;phone, work_email;phone, work_email;t;True;Centro;Entire rental unit;Entire home/apt;4;20;2;2 baths;Private;2;3;$148.00;148,00;1;Very short stay;365;Long stay (up to 1 year);2;7;365;365;43;3650;;t;5;11;41;299;High availability;06/03/2025;30;6;0;235;7;19/08/2022;21/10/2024;453;4,53;45;477;45;467;497;443;t;True;142;137;5;0;97
6,74777E+17;07/03/2025;city scrape;356248492;13/07/2020;Madrid, Spain;1;Spain;within an hour;100%;1,00;100%;1,00;;d;Unknown;38;39;email, phone;email, phone;t;True;Centro;Entire serviced apartment;Entire home/apt;15;20;2;2 baths;Private;4;9;$393.00;393,00;1;Very short stay;365;Long stay (up to 1 year);1;113;1125;1125;21;11250;;t;17;36;63;77;Low availability;07/03/2025;122;48;5;77;49;11/08/2022;05/03/2025;48;0,48;484;49;467;482;495;473;t;True;28;28;0;0;389
6,74993E+17;12/03/2025;city scrape;309311848;13/11/2019;Madrid, Spain;1;Spain;a few days or more;0%;0,00;33%;0,33;f;f;False;1;1;email, phone;email, phone;t;True;Ciudad Lineal;Private room in rental unit;Private room;2;15;1,5;1.5 shared baths;Shared;1;1;$55.00;55,00;1;Very short stay;365;Long stay (up to 1 year);1;1;365;365;10;3650;;t;0;0;0;70;Low availability;12/03/2025;62;0;0;0;0;03/09/2022;03/12/2023;492;4,92;494;489;497;495;482;485;f;False;1;0;1;0;202
6,75011E+17;12/03/2025;city scrape;470512544;20/07/2022;;0;Unknown;within an hour;100%;1,00;96%;0,96;t;t;True;1;1;email, phone;email, phone;t;True;Hortaleza;Entire rental unit;Entire home/apt;4;20;2;2 baths;Private;3;3;$120.00;120,00;3;Very short stay;180;Long stay (up to 1 year);1;3;180;180;30;1800;;t;0;0;0;0;Not available;12/03/2025;90;33;3;0;33;01/09/2022;04/03/2025;494;4,94;497;489;493;494;479;47;f;False;1;1;0;0;292
6,70757E+17;08/03/2025;city scrape;159570292;21/11/2017;;0;Unknown;within an hour;100%;1,00;94%;0,94;f;f;False;1;1;phone;phone;t;True;Centro;Entire rental unit;Entire home/apt;3;10;1;1 bath;Private;1;1;$95.00;95,00;1;Very short stay;365;Long stay (up to 1 year);1;2;1125;1125;18;11250;;t;11;39;66;329;High availability;08/03/2025;19;8;2;268;5;15/11/2022;20/02/2025;468;4,68;458;468;442;447;479;468;t;True;1;1;0;0;67
6,70774E+17;09/03/2025;previous scrape;50080380;28/11/2015;Madrid, Spain;1;Spain;N/A;N/A;;97%;0,97;f;f;False;20;20;phone, work_email;phone, work_email;t;True;Salamanca;Private room in condo;Private room;2;;0;2 shared baths;Shared;;;;;7;Short stay;365;Long stay (up to 1 year);7;7;365;365;70;3650;;t;0;0;0;0;Not available;09/03/2025;2;0;0;0;0;22/08/2022;24/08/2023;50;0,5;50;50;50;50;50;50;t;True;17;0;17;0;6
6,70782E+17;12/03/2025;city scrape;469417868;14/07/2022;Madrid, Spain;1;Spain;within an hour;100%;1,00;100%;1,00;f;f;False;1;1;phone;phone;t;True;Centro;Entire rental unit;Entire home/apt;3;10;1;1 bath;Private;1;1;$76.00;76,00;2;Very short stay;90;Long stay (up to 1 year);1;3;90;90;21;900;;t;14;25;44;310;High availability;12/03/2025;40;33;2;240;33;24/06/2023;03/03/2025;445;4,45;455;433;478;483;49;428;f;False;1;1;0;0;191
